timestamp,service,level,template,message,cache_size_mb,duration_ms,heap_used_mb,memory_limit_bytes
2026-06-01 00:00:49.291000+00:00,cart-service,INFO,ProductCatalogCache loaded 8791 entries,ProductCatalogCache loaded 8791 entries,49.6,127.0,,
2026-06-01 00:01:15.559000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 12571 entries,43.7,159.0,,
2026-06-01 00:01:52.102000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 22110 entries,43.1,130.0,,
2026-06-01 00:02:19.856000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 19406 entries,49.1,155.0,,
2026-06-01 00:03:27.146000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 14784 entries,42.6,125.0,,
2026-06-01 00:03:49.643000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 16185 entries,41.0,120.0,,
2026-06-01 00:03:49.981000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 17424 entries,52.3,112.0,,
2026-06-01 00:04:30.626000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 20549 entries,42.0,178.0,,
2026-06-01 00:04:51.472000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 12012 entries,51.4,130.0,,
2026-06-01 00:06:25.878000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 15410 entries,43.3,157.0,,
2026-06-01 00:06:46.218000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 19284 entries,40.7,184.0,,
2026-06-01 00:06:49.529000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 8260 entries,41.5,141.0,,
2026-06-01 00:07:08.075000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 23535 entries,40.2,110.0,,
2026-06-01 00:07:54.288000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 14914 entries,44.6,143.0,,
2026-06-01 00:09:04.637000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 10717 entries,49.0,187.0,,
2026-06-01 00:09:44.061000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 22770 entries,51.8,131.0,,
2026-06-01 00:10:17.576000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 23964 entries,50.2,139.0,,
2026-06-01 00:10:37.396000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 19380 entries,45.9,181.0,,
2026-06-01 00:10:56.336000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 9532 entries,49.8,129.0,,
2026-06-01 00:11:26.906000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 12898 entries,41.4,194.0,,
2026-06-01 00:11:41.931000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 23974 entries,53.9,183.0,,
2026-06-01 00:12:23.010000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 14891 entries,48.3,158.0,,
2026-06-01 00:12:41.027000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 24636 entries,42.2,130.0,,
2026-06-01 00:13:01.730000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 13521 entries,44.2,101.0,,
2026-06-01 00:13:22.069000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 9645 entries,40.0,116.0,,
2026-06-01 00:13:53.723000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 8075 entries,53.7,200.0,,
2026-06-01 00:15:34.366000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 21783 entries,51.6,105.0,,
2026-06-01 00:16:06.694000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 15139 entries,51.9,182.0,,
2026-06-01 00:18:31.308000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 14006 entries,49.9,155.0,,
2026-06-01 00:20:30.392000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 16263 entries,43.8,136.0,,
2026-06-01 00:20:45.666000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 22361 entries,41.1,181.0,,
2026-06-01 00:20:56.462000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 23004 entries,41.5,119.0,,
2026-06-01 00:21:28.755000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 19399 entries,43.7,186.0,,
2026-06-01 00:21:34.806000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 24008 entries,45.5,152.0,,
2026-06-01 00:21:36.844000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 11625 entries,50.7,164.0,,
2026-06-01 00:22:02.241000+00:00,cart-service,INFO,ProductCatalogCache loaded <*> entries,ProductCatalogCache loaded 16044 entries,53.7,182.0,,
